StockPrice,OptionValue
0,35
0.21,35.1242
0.42,34.9297
0.63,34.7214
0.84,34.5117
1.05,34.3017
1.26,34.0917
1.47,33.8818
1.68,33.6718
1.89,33.4618
2.1,33.2518
2.31,33.0418
2.52,32.8318
2.73,32.6218
2.94,32.4118
3.15,32.2018
3.36,31.9918
3.57,31.7818
3.78,31.5718
3.99,31.3618
4.2,31.1518
4.41,30.9418
4.62,30.7318
4.83,30.5218
5.04,30.3118
5.25,30.1018
5.46,29.8918
5.67,29.6818
5.88,29.4718
6.09,29.2618
6.3,29.0519
6.51,28.8419
6.72,28.6319
6.93,28.422
7.14,28.2121
7.35,28.0022
7.56,27.7923
7.77,27.5825
7.98,27.3727
8.19,27.1629
8.4,26.9532
8.61,26.7435
8.82,26.534
9.03,26.3244
9.24,26.115
9.45,25.9057
9.66,25.6964
9.87,25.4873
10.08,25.2783
10.29,25.0695
10.5,24.8608
10.71,24.6523
10.92,24.444
11.13,24.2359
11.34,24.028
11.55,23.8204
11.76,23.613
11.97,23.4059
12.18,23.1992
12.39,22.9927
12.6,22.7866
12.81,22.5808
13.02,22.3755
13.23,22.1705
13.44,21.966
13.65,21.7619
13.86,21.5584
14.07,21.3553
14.28,21.1527
14.49,20.9507
14.7,20.7493
14.91,20.5485
15.12,20.3483
15.33,20.1487
15.54,19.9499
15.75,19.7517
15.96,19.5542
16.17,19.3575
16.38,19.1616
16.59,18.9665
16.8,18.7721
17.01,18.5786
17.22,18.386
17.43,18.1943
17.64,18.0034
17.85,17.8135
18.06,17.6246
18.27,17.4366
18.48,17.2496
18.69,17.0636
18.9,16.8786
19.11,16.6947
19.32,16.5118
19.53,16.3301
19.74,16.1494
19.95,15.9699
20.16,15.7914
20.37,15.6142
20.58,15.4381
20.79,15.2631
21,15.0894
21.21,14.9169
21.42,14.7456
21.63,14.5755
21.84,14.4067
22.05,14.2391
22.26,14.0727
22.47,13.9077
22.68,13.7439
22.89,13.5815
23.1,13.4203
23.31,13.2604
23.52,13.1018
23.73,12.9446
23.94,12.7887
24.15,12.6341
24.36,12.4808
24.57,12.3289
24.78,12.1783
24.99,12.0291
25.2,11.8812
25.41,11.7347
25.62,11.5895
25.83,11.4457
26.04,11.3032
26.25,11.1621
26.46,11.0223
26.67,10.8839
26.88,10.7469
27.09,10.6112
27.3,10.4768
27.51,10.3438
27.72,10.2121
27.93,10.0818
28.14,9.95281
28.35,9.82516
28.56,9.69884
28.77,9.57385
28.98,9.45018
29.19,9.32783
29.4,9.20679
29.61,9.08706
29.82,8.96863
